2017-04-21 23:37:28,433 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: java.networking:netty.chat:0.0.1-SNAPSHOT @ /Users/sghosh8/learning/Languages/Languages/eclipse-workspace/netty.chat/pom.xml.
2017-04-21 23:37:28,853 [Worker-57] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /netty.chat/src/main/java
2017-04-21 23:37:28,854 [Worker-57] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /netty.chat/src/main/resources
2017-04-21 23:37:28,854 [Worker-57] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /netty.chat/src/test/java
2017-04-21 23:37:28,854 [Worker-57] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /netty.chat/src/test/resources
2017-04-21 23:37:37,259 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 23:37:37,273 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-21 23:37:37,275 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 23:37:37,275 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-22 17:01:55,200 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: java.networking:netty.chat:0.0.1-SNAPSHOT @ /Users/sghosh8/learning/Languages/Languages/eclipse-workspace/netty.chat/pom.xml.
2017-04-22 17:02:06,099 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://gec-maven-nexus.walmart.com/nexus/content/groups/public/io/netty/netty-all/4.1.9/netty-all-4.1.9.pom
2017-04-22 17:02:06,101 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for io.netty:netty-all:jar:4.1.9 is missing, no dependency information available
